month,week,day,hour,DotW,WR
1,2,8,16,1,140
1,2,8,17,1,144
1,2,8,18,1,144
1,2,8,20,1,102
1,2,8,23,1,0
1,2,8,0,2,0
1,2,8,1,2,0
1,2,8,2,2,0
1,2,8,3,2,0
1,2,8,4,2,0
1,2,8,5,2,0
1,2,8,6,2,50
1,2,8,7,2,71
1,2,8,8,2,62
1,2,8,9,2,59
1,2,8,10,2,62
1,2,8,12,2,86
1,2,8,13,2,131
1,2,8,14,2,112
1,2,8,15,2,108
1,2,8,16,2,146
1,2,8,17,2,108
1,2,8,19,2,113
1,2,8,20,2,103
1,2,8,21,2,92
1,2,8,23,2,0
1,2,8,0,3,0
1,2,8,1,3,0
1,2,8,2,3,0
1,2,8,3,3,0
1,2,8,4,3,0
1,2,8,5,3,0
1,2,8,6,3,11
1,2,8,7,3,49
1,2,8,8,3,58
1,2,8,9,3,66
1,2,8,10,3,79
1,2,8,11,3,80
1,2,8,12,3,114
1,2,8,13,3,133
1,2,8,14,3,121
1,2,8,15,3,141
1,2,8,16,3,155
1,2,8,17,3,154
1,2,8,18,3,137
1,2,8,19,3,116
1,2,8,20,3,92
1,2,8,21,3,97
1,2,8,22,3,72
1,2,8,23,3,0
1,2,8,0,4,0
1,2,8,1,4,0
1,2,8,2,4,0
1,2,8,3,4,0
1,2,8,4,4,0
1,2,8,5,4,0
1,2,8,6,4,12
1,2,8,7,4,24
1,2,8,9,4,46
1,2,8,10,4,62
1,2,8,11,4,82
1,2,8,15,4,106
1,2,8,16,4,134
1,2,8,17,4,132
1,2,8,18,4,105
1,2,8,19,4,107
1,2,8,20,4,93
1,2,8,21,4,67
1,2,8,22,4,64
1,2,8,23,4,28
1,1,8,0,5,0
1,1,8,1,5,0
1,1,8,2,5,0
1,1,8,3,5,0
1,1,8,4,5,0
1,1,8,5,5,0
1,1,8,6,5,28
1,1,8,7,5,45
1,1,8,8,5,42
1,1,8,9,5,58
1,1,8,10,5,73
1,1,8,11,5,112
1,1,8,12,5,124
1,1,8,13,5,102
1,1,8,14,5,128
1,1,8,15,5,142
1,1,8,16,5,146
1,1,8,17,5,143
1,1,8,18,5,132
1,1,8,19,5,77
1,1,8,20,5,80
1,1,8,21,5,61
1,1,8,22,5,0
1,1,8,23,5,0
1,1,8,0,7,0
1,1,8,1,7,0
1,1,8,2,7,0
1,1,8,3,7,0
1,1,8,4,7,0
1,1,8,5,7,0
1,1,8,6,7,0
1,1,8,7,7,0
1,1,8,8,7,6
1,1,8,9,7,20
1,1,8,10,7,30
1,1,8,11,7,44
1,1,8,12,7,52
1,1,8,13,7,61
1,1,8,14,7,75
1,1,8,15,7,60
1,1,8,16,7,72
1,1,8,17,7,94
1,1,8,18,7,82
1,1,8,19,7,90
1,1,8,20,7,98
1,1,8,21,7,79
1,1,8,22,7,58
1,1,8,23,7,11
1,2,9,0,3,0
1,2,9,1,3,0
1,2,9,2,3,0
1,2,9,3,3,0
1,2,9,4,3,0
1,2,9,5,3,0
1,2,9,6,3,0
1,2,9,7,3,66
1,2,9,8,3,80
1,2,9,9,3,86
1,2,9,11,3,122
1,2,9,12,3,121
1,2,9,13,3,121
1,2,9,14,3,112
1,2,9,15,3,144
1,2,9,16,3,162
1,2,9,17,3,151
1,2,9,18,3,105
1,2,9,20,3,100
1,2,9,23,3,0
1,2,9,0,4,0
1,2,9,1,4,0
1,2,9,2,4,0
1,2,9,3,4,0
1,2,9,4,4,0
1,2,9,5,4,0
1,2,9,6,4,32
1,2,9,7,4,53
1,2,9,8,4,49
1,2,9,9,4,66
1,2,9,10,4,90
1,2,9,11,4,98
1,2,9,12,4,110
1,2,9,13,4,111
1,2,9,14,4,113
1,2,9,15,4,109
1,2,9,16,4,144
1,2,9,17,4,151
1,2,9,18,4,128
1,2,9,19,4,104
1,2,9,20,4,86
1,2,9,21,4,68
1,2,9,22,4,59
1,2,9,23,4,0
1,2,9,0,5,0
1,2,9,1,5,0
1,2,9,2,5,0
1,2,9,3,5,0
1,2,9,4,5,0
1,2,9,5,5,0
1,2,9,6,5,17
1,2,9,7,5,30
1,2,9,8,5,33
1,2,9,9,5,50
1,2,9,10,5,66
1,2,9,11,5,88
1,2,9,12,5,92
1,2,9,13,5,85
1,2,9,14,5,110
1,2,9,15,5,148
1,2,9,16,5,150
1,2,9,19,5,100
1,2,9,20,5,79
1,2,9,21,5,0
1,2,9,22,5,0
1,2,9,23,5,0
1,1,9,0,6,0
1,1,9,1,6,0
1,1,9,2,6,0
1,1,9,3,6,0
1,1,9,4,6,0
1,1,9,5,6,0
1,1,9,6,6,0
1,1,9,7,6,0
1,1,9,8,6,13
1,1,9,9,6,49
1,1,9,10,6,70
1,1,9,11,6,64
1,1,9,12,6,59
1,1,9,13,6,83
1,1,9,14,6,100
1,1,9,15,6,91
1,1,9,16,6,135
1,1,9,17,6,146
1,1,9,18,6,116
1,1,9,19,6,106
1,1,9,20,6,90
1,1,9,21,6,76
1,1,9,22,6,0
1,1,9,23,6,0
1,2,10,0,2,0
1,2,10,1,2,0
1,2,10,2,2,0
1,2,10,3,2,0
1,2,10,4,2,0
1,2,10,5,2,0
1,2,10,6,2,60
1,2,10,7,2,86
1,2,10,8,2,78
1,2,10,9,2,102
1,2,10,10,2,122
1,2,10,11,2,144
1,2,10,12,2,159
1,2,10,13,2,150
1,2,10,14,2,123
1,2,10,15,2,152
1,2,10,16,2,198
1,2,10,17,2,216
1,2,10,18,2,184
1,2,10,19,2,136
1,2,10,20,2,136
1,2,10,21,2,144
1,2,10,22,2,116
1,2,10,23,2,26
1,2,10,0,3,0
1,2,10,1,3,0
1,2,10,2,3,0
1,2,10,3,3,0
1,2,10,4,3,0
1,2,10,5,3,0
1,2,10,6,3,27
1,2,10,7,3,48
1,2,10,8,3,65
1,2,10,9,3,73
1,2,10,10,3,109
1,2,10,11,3,101
1,2,10,12,3,135
1,2,10,13,3,141
1,2,10,14,3,130
1,2,10,15,3,133
1,2,10,16,3,161
1,2,10,17,3,185
1,2,10,18,3,146
1,2,10,19,3,45
1,2,10,20,3,118
1,2,10,21,3,131
1,2,10,23,3,0
1,2,10,0,5,0
1,2,10,1,5,0
1,2,10,2,5,0
1,2,10,3,5,0
1,2,10,4,5,0
1,2,10,5,5,0
1,2,10,6,5,22
1,2,10,7,5,43
1,2,10,8,5,40
1,2,10,9,5,55
1,2,10,10,5,73
1,2,10,11,5,108
1,2,10,12,5,111
1,2,10,13,5,113
1,2,10,14,5,142
1,2,10,15,5,147
1,2,10,16,5,135
1,2,10,17,5,138
1,2,10,18,5,100
1,2,10,19,5,76
1,2,10,20,5,24
1,2,10,21,5,16
1,2,10,22,5,0
1,2,10,23,5,0
1,2,10,0,6,0
1,2,10,1,6,0
1,2,10,2,6,0
1,2,10,3,6,0
1,2,10,4,6,0
1,2,10,5,6,0
1,2,10,6,6,0
1,2,10,7,6,0
1,2,10,8,6,13
1,2,10,9,6,34
1,2,10,10,6,56
1,2,10,11,6,58
1,2,10,12,6,80
1,2,10,14,6,89
1,2,10,15,6,130
1,2,10,16,6,111
1,2,10,17,6,131
1,2,10,18,6,99
1,2,10,19,6,55
1,2,10,20,6,56
1,2,10,21,6,0
1,2,10,22,6,0
1,2,10,23,6,0
1,2,11,0,1,0
1,2,11,1,1,0
1,2,11,2,1,0
1,2,11,3,1,0
1,2,11,4,1,0
1,2,11,5,1,0
1,2,11,6,1,43
1,2,11,7,1,67
1,2,11,8,1,62
1,2,11,9,1,59
1,2,11,10,1,100
1,2,11,11,1,124
1,2,11,12,1,126
1,2,11,13,1,126
1,2,11,14,1,178
1,2,11,15,1,219
1,2,11,16,1,212
1,2,11,17,1,186
1,2,11,18,1,168
1,2,11,19,1,155
1,2,11,20,1,140
1,2,11,21,1,141
1,2,11,22,1,157
1,2,11,23,1,115
1,2,11,0,3,0
1,2,11,1,3,0
1,2,11,2,3,0
1,2,11,3,3,0
1,2,11,4,3,0
1,2,11,5,3,0
1,2,11,6,3,14
1,2,11,7,3,83
1,2,11,8,3,39
1,2,11,9,3,94
1,2,11,10,3,135
1,2,11,11,3,168
1,2,11,12,3,147
1,2,11,13,3,143
1,2,11,14,3,144
1,2,11,15,3,138
1,2,11,16,3,182
1,2,11,17,3,185
1,2,11,18,3,158
1,2,11,19,3,119
1,2,11,20,3,118
1,2,11,21,3,134
1,2,11,22,3,114
1,2,11,23,3,24
1,2,11,0,4,0
1,2,11,1,4,0
1,2,11,2,4,0
1,2,11,3,4,0
1,2,11,4,4,0
1,2,11,5,4,0
1,2,11,6,4,17
1,2,11,7,4,41
1,2,11,8,4,60
1,2,11,9,4,79
